# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterprise|Transit/Access
395|CAIDA_class|Transit/Access
400|CAIDA_class|Enterprise
409|CAIDA_class|Transit/Access
412|CAIDA_class|Transit/Access
427|CAIDA_class|Transit/Access
440|CAIDA_class|Transit/Access
444|CAIDA_class|Transit/Access
450|CAIDA_class|Transit/Access
466|CAIDA_class|Transit/Access
472|CAIDA_class|Enterprise
477|CAIDA_class|Enterprise
491|CAIDA_class|Transit/Access
495|CAIDA_class|Transit/Access
497|CAIDA_class|Transit/Access
509|CAIDA_class|Enterprise
510|CAIDA_class|Enterprise
511|CAIDA_class|Enterprise
513|CAIDA_class|Transit/Access
517|CAIDA_class|Enterprise
518|CAIDA_class|Transit/Access
523|CAIDA_class|Transit/Access
527|CAIDA_class|Enterprise
539|CAIDA_class|Transit/Access
543|CAIDA_class|Enterprise
545|CAIDA_class|Transit/Access
546|CAIDA_class|Transit/Access
547|CAIDA_class|Enterprise
549|CAIDA_class|Transit/Access
553|CAIDA_class|Transit/Access
555|CAIDA_class|Enterprise
557|CAIDA_class|Transit/Access
558|peerDB_class|Transit/Access
559|CAIDA_class|Transit/Access
560|CAIDA_class|Transit/Access
565|CAIDA_class|Transit/Access
566|CAIDA_class|Enterprise
567|CAIDA_class|Transit/Access
571|CAIDA_class|Transit/Access
572|CAIDA_class|Enterprise
575|CAIDA_class|Enterprise
577|peerDB_class|Transit/Access
578|manual_class|Enterprise
579|CAIDA_class|Enterprise
589|CAIDA_class|Transit/Access
594|CAIDA_class|Transit/Access
598|CAIDA_class|Enterprise
600|CAIDA_class|Transit/Access
603|CAIDA_class|Content
605|CAIDA_class|Enterprise
606|CAIDA_class|Transit/Access
607|CAIDA_class|Enterprise
609|CAIDA_class|Transit/Access
611|CAIDA_class|Transit/Access
612|CAIDA_class|Enterprise
613|CAIDA_class|Enterprise
615|CAIDA_class|Transit/Access
616|CAIDA_class|Enterprise
619|CAIDA_class|Enterprise
627|CAIDA_class|Transit/Access
637|CAIDA_class|Transit/Access
647|CAIDA_class|Transit/Access
655|CAIDA_class|Enterprise
664|CAIDA_class|Transit/Access
665|CAIDA_class|Transit/Access
668|CAIDA_class|Transit/Access
670|CAIDA_class|Transit/Access
671|CAIDA_class|Transit/Access
672|CAIDA_class|Transit/Access
673|CAIDA_class|Transit/Access
676|CAIDA_class|Enterprise
679|CAIDA_class|Transit/Access
680|CAIDA_class|Transit/Access
681|CAIDA_class|Transit/Access
683|CAIDA_class|Transit/Access
687|CAIDA_class|Transit/Access
688|CAIDA_class|Transit/Access
693|CAIDA_class|Transit/Access
698|CAIDA_class|Transit/Access
699|CAIDA_class|Transit/Access
701|peerDB_class|Transit/Access
702|peerDB_class|Transit/Access
703|peerDB_class|Transit/Access
705|CAIDA_class|Enterprise
706|CAIDA_class|Enterprise
714|peerDB_class|Content
715|CAIDA_class|Enterprise
719|CAIDA_class|Transit/Access
721|CAIDA_class|Transit/Access
722|CAIDA_class|Enterprise
724|CAIDA_class|Transit/Access
745|CAIDA_class|Transit/Access
747|CAIDA_class|Transit/Access
760|CAIDA_class|Transit/Access
764|CAIDA_class|Transit/Access
766|CAIDA_class|Transit/Access
768|CAIDA_class|Transit/Access
771|CAIDA_class|Transit/Access
773|CAIDA_class|Enterprise
775|CAIDA_class|Transit/Access
776|CAIDA_class|Transit/Access
777|CAIDA_class|Transit/Access
779|CAIDA_class|Transit/Access
781|CAIDA_class|Enterprise
784|CAIDA_class|Enterprise
786|CAIDA_class|Transit/Access
789|CAIDA_class|Transit/Access
790|CAIDA_class|Transit/Access
792|CAIDA_class|Enterprise
793|CAIDA_class|Enterprise
794|CAIDA_class|Transit/Access
797|CAIDA_class|Transit/Access
802|CAIDA_class|Transit/Access
803|peerDB_class|Transit/Access
806|CAIDA_class|Transit/Access
808|CAIDA_class|Transit/Access
812|peerDB_class|Transit/Access
813|CAIDA_class|Transit/Access
818|CAIDA_class|Transit/Access
819|CAIDA_class|Transit/Access
822|CAIDA_class|Transit/Access
823|CAIDA_class|Transit/Access
825|CAIDA_class|Transit/Access
841|CAIDA_class|Transit/Access
852|peerDB_class|Transit/Access
855|peerDB_class|Transit/Access
940|CAIDA_class|Transit/Access
1000|CAIDA_class|Enterprise
1077|CAIDA_class|Enterprise
1101|CAIDA_class|Transit/Access
1102|CAIDA_class|Enterprise
1103|CAIDA_class|Transit/Access
1104|CAIDA_class|Transit/Access
1109|CAIDA_class|Transit/Access
1110|CAIDA_class|Transit/Access
1111|CAIDA_class|Transit/Access
1112|CAIDA_class|Enterprise
1113|CAIDA_class|Transit/Access
1114|CAIDA_class|Transit/Access
1117|CAIDA_class|Transit/Access
1120|CAIDA_class|Transit/Access
1124|manual_class|Enterprise
1125|CAIDA_class|Transit/Access
1126|peerDB_class|Transit/Access
1128|CAIDA_class|Transit/Access
1132|CAIDA_class|Enterprise
1133|CAIDA_class|Transit/Access
1134|CAIDA_class|Transit/Access
1136|peerDB_class|Transit/Access
1140|CAIDA_class|Transit/Access
1142|CAIDA_class|Content
1145|CAIDA_class|Transit/Access
1147|CAIDA_class|Enterprise
1161|CAIDA_class|Transit/Access
1197|CAIDA_class|Transit/Access
1201|CAIDA_class|Transit/Access
1202|CAIDA_class|Transit/Access
1204|CAIDA_class|Enterprise
1205|CAIDA_class|Transit/Access
1206|CAIDA_class|Transit/Access
1207|CAIDA_class|Transit/Access
1208|CAIDA_class|Transit/Access
1213|CAIDA_class|Transit/Access
1215|CAIDA_class|Transit/Access
1217|CAIDA_class|Enterprise
1221|CAIDA_class|Transit/Access
1222|CAIDA_class|Enterprise
1224|CAIDA_class|Transit/Access
1226|CAIDA_class|Transit/Access
1234|CAIDA_class|Enterprise
1236|manual_class|Enterprise
1237|CAIDA_class|Transit/Access
1239|peerDB_class|Transit/Access
1241|peerDB_class|Transit/Access
1245|CAIDA_class|Transit/Access
1246|CAIDA_class|Transit/Access
1248|peerDB_class|Enterprise
1249|CAIDA_class|Transit/Access
1251|CAIDA_class|Transit/Access
1252|CAIDA_class|Transit/Access
1254|CAIDA_class|Transit/Access
1257|peerDB_class|Transit/Access
1258|CAIDA_class|Enterprise
1261|CAIDA_class|Transit/Access
1267|peerDB_class|Transit/Access
